mls,campus_number,school_district,school,rating
242718,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
242718,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
296833,101912211,HOUSTON ISD,OAK FOREST ELEMENTARY,A
296833,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
468622,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
468622,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
474952,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
474952,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
531033,101912276,HOUSTON ISD,SHADOWBRIAR ELEMENTARY,D
531033,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
535780,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
535780,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
754009,101912120,HOUSTON ISD,BROWNING ELEMENTARY,C
754009,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
845387,101912286,HOUSTON ISD,HERRERA ELEMENTARY,A
845387,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
849724,101912148,HOUSTON ISD,ELROD ELEMENTARY,A
849724,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
875166,101912195,HOUSTON ISD,LOCKHART ELEMENTARY,C
875166,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
899952,101912156,HOUSTON ISD,FROST ELEMENTARY,B
899952,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
919728,101912259,HOUSTON ISD,WILSON MONTESSORI,C
919728,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
956258,101912256,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,B
956258,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
964027,101912201,HOUSTON ISD,MACGREGOR ELEMENTARY,C
964027,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
1016386,101912195,HOUSTON ISD,LOCKHART ELEMENTARY,C
1016386,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
1029097,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
1029097,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
1036880,101912120,HOUSTON ISD,BROWNING ELEMENTARY,C
1036880,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
1039842,101912124,HOUSTON ISD,BURNET ELEMENTARY,B
1039842,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
1041641,101912475,HOUSTON ISD,ELMORE ELEMENTARY,C
1041641,101912007,HOUSTON ISD,KASHMERE HIGH SCHOOL,C
2068135,101912274,HOUSTON ISD,ASKEW ELEMENTARY,C
2068135,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
2142528,101912228,HOUSTON ISD,RIVER OAKS ELEMENTARY,A
2142528,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2178041,101912156,HOUSTON ISD,FROST ELEMENTARY,B
2178041,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
2187825,101912121,HOUSTON ISD,BRUCE ELEMENTARY,D
2187825,101912018,HOUSTON ISD,WHEATLEY HIGH SCHOOL,F
2235093,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
2235093,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
2363954,101912170,HOUSTON ISD,HELMS ELEMENTARY,B
2363954,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
2373527,101912135,HOUSTON ISD,CROCKETT ELEMENTARY,A
2373527,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
2375107,101912473,HOUSTON ISD,HILLIARD ELEMENTARY,D
2375107,101912477,HOUSTON ISD,NORTH FOREST HIGH SCHOOL,D
2376944,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
2376944,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2418496,101912249,HOUSTON ISD,TRAVIS ELEMENTARY,A
2418496,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
2427259,101912253,HOUSTON ISD,WALNUT BEND ELEMENTARY,C
2427259,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
2538445,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
2538445,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
2561808,101912259,HOUSTON ISD,WILSON MONTESSORI,C
2561808,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2569510,101912229,HOUSTON ISD,ROBERTS ELEMENTARY,A
2569510,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2571718,101912259,HOUSTON ISD,WILSON MONTESSORI,C
2571718,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2587468,101912251,HOUSTON ISD,TWAIN ELEMENTARY,A
2587468,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2652890,101912156,HOUSTON ISD,FROST ELEMENTARY,B
2652890,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
2659908,101912195,HOUSTON ISD,LOCKHART ELEMENTARY,C
2659908,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
2677308,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
2677308,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
2678297,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
2678297,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
2702340,101912263,HOUSTON ISD,LAW ELEMENTARY,C
2702340,101912019,HOUSTON ISD,WORTHING HIGH SCHOOL,C
2707648,101912389,HOUSTON ISD,KETELSEN ELEMENTARY,A
2707648,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
2743430,101912245,HOUSTON ISD,STEVENS ELEMENTARY,D
2743430,101912024,HOUSTON ISD,SCARBOROUGH HIGH SCHOOL,C
2823691,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
2823691,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
2837464,101912203,HOUSTON ISD,MADING ELEMENTARY,C
2837464,101912014,HOUSTON ISD,STERLING HIGH SCHOOL,C
2853980,101912273,HOUSTON ISD,ASHFORD ELEMENTARY,F
2853980,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
2866520,101912217,HOUSTON ISD,PECK ELEMENTARY,C
2866520,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
2873391,101912115,HOUSTON ISD,DURHAM ELEMENTARY,C
2873391,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
2914096,101912259,HOUSTON ISD,WILSON MONTESSORI,C
2914096,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
2927265,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
2927265,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
3021508,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
3021508,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
3027961,101912110,HOUSTON ISD,BLACKSHEAR ELEMENTARY,C
3027961,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
3074089,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
3074089,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
3156606,101912227,HOUSTON ISD,MCNAMARA ELEMENTARY,B
3156606,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
3165079,101912157,HOUSTON ISD,GARDEN OAKS MONTESSORI,C
3165079,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
3175871,101907104,CYPRESS-FAIRBANKS ISD,POST ELEMENTARY,B
3175871,101907003,CYPRESS-FAIRBANKS ISD,JERSEY VILLAGE HIGH SCHOOL,B
3188997,101912259,HOUSTON ISD,WILSON MONTESSORI,C
3188997,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
3230944,101912058,HOUSTON ISD,GREGORY-LINCOLN ELEMENTARY,D
3230944,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
3235605,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
3235605,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
3308084,101912189,HOUSTON ISD,KOLTER ELEMENTARY,A
3308084,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
3329659,101912204,HOUSTON ISD,MEMORIAL ELEMENTARY,A
3329659,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
3342564,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
3342564,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
3427718,101912175,HOUSTON ISD,HOBBY ELEMENTARY,D
3427718,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
3465776,101912188,HOUSTON ISD,KENNEDY ELEMENTARY,C
3465776,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
3483628,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
3483628,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
3498325,101912174,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,D
3498325,101912016,HOUSTON ISD,WASHINGTON B T HIGH SCHOOL,C
3515388,101912255,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,A
3515388,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
3518125,101912286,HOUSTON ISD,HERRERA ELEMENTARY,A
3518125,101912310,HOUSTON ISD,HOUSTON MATH SCIENCE AND TECHNOLOG,C
3541490,101912273,HOUSTON ISD,ASHFORD ELEMENTARY,F
3541490,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
3554395,101912217,HOUSTON ISD,PECK ELEMENTARY,C
3554395,101912020,HOUSTON ISD,YATES HIGH SCHOOL,D
3582323,101912198,HOUSTON ISD,LOVE ELEMENTARY,C
3582323,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
3589297,101912111,HOUSTON ISD,BONHAM ELEMENTARY,C
3589297,101912023,HOUSTON ISD,SHARPSTOWN HIGH SCHOOL,C
3631477,101912289,HOUSTON ISD,MARTINEZ C ELEMENTARY,F
3631477,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
3633651,101912274,HOUSTON ISD,ASKEW ELEMENTARY,C
3633651,101912036,HOUSTON ISD,WESTSIDE HIGH SCHOOL,B
3643027,101912130,HOUSTON ISD,CONDIT ELEMENTARY,A
3643027,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
3654933,101912221,HOUSTON ISD,POE ELEMENTARY,B
3654933,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
3724611,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
3724611,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
3742892,101912152,HOUSTON ISD,FIELD ELEMENTARY,A
3742892,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
3782136,101912189,HOUSTON ISD,KOLTER ELEMENTARY,A
3782136,101912017,HOUSTON ISD,WESTBURY HIGH SCHOOL,C
3798854,101912182,HOUSTON ISD,JEFFERSON ELEMENTARY,B
3798854,101912003,HOUSTON ISD,NORTHSIDE HIGH SCHOOL,C
3834876,101912116,HOUSTON ISD,BRIARGROVE ELEMENTARY,B
3834876,101912009,HOUSTON ISD,WISDOM HIGH SCHOOL,C
3869729,101912178,HOUSTON ISD,HORN ELEMENTARY,A
3869729,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
3872865,101912221,HOUSTON ISD,POE ELEMENTARY,B
3872865,101912008,HOUSTON ISD,LAMAR HIGH SCHOOL,B
3886379,101912241,HOUSTON ISD,SINCLAIR ELEMENTARY,B
3886379,101912015,HOUSTON ISD,WALTRIP HIGH SCHOOL,C
4019514,101912239,HOUSTON ISD,SHEARN ELEMENTARY,C
4019514,101912010,HOUSTON ISD,MADISON HIGH SCHOOL,C
4065125,101912169,HOUSTON ISD,HARVARD ELEMENTARY,A
4065125,101912012,HOUSTON ISD,HEIGHTS HIGH SCHOOL,B
4090512,101912196,HOUSTON ISD,LONGFELLOW ELEMENTARY,B
4090512,101912002,HOUSTON ISD,BELLAIRE HIGH SCHOOL,B
